FighterName,FighterLink,FighterWL,Opponent,EventName,Decision,EndRound,EndTime,FightDate,Referee
Jose Aldo,https://www.sherdog.com/fighter/Jose-Aldo-11506,W,Jonathan Brookins,WEC 36 - Faber vs. Brown,TKO (Punches),3,0:45,"Nov  05, 2008","Troy Waugh
                            VIEW PLAY-BY-PLAY"
Jose Aldo,https://www.sherdog.com/fighter/Jose-Aldo-11506,W,Alexandre Franca Nogueira,WEC 34 - Sacramento,TKO (Punches),2,3:22,"Jun  01, 2008",Steve Mazzagatti
Jose Aldo,https://www.sherdog.com/fighter/Jose-Aldo-11506,W,Shoji Maruyama,Pancrase - 2007 Neo-Blood Tournament Finals,Decision (Unanimous),3,5:00,"Jul  27, 2007",Soichi Hiroto
Jose Aldo,https://www.sherdog.com/fighter/Jose-Aldo-11506,W,Fabio Mello,TFC 3 - Top Fighting Championships 3,Decision (Unanimous),3,5:00,"May  02, 2007",""
Jose Aldo,https://www.sherdog.com/fighter/Jose-Aldo-11506,W,Thiago Meller,GFC 1 - Gold Fighters Championship,Decision (Majority),3,5:00,"May  20, 2006",""
Jose Aldo,https://www.sherdog.com/fighter/Jose-Aldo-11506,L,Luciano Azevedo,JF - Jungle Fight 5,Submission (Rear-Naked Choke),2,3:37,"Nov  26, 2005",""
Jose Aldo,https://www.sherdog.com/fighter/Jose-Aldo-11506,W,Micky Young,FX3 - Battle of Britain,TKO (Punches),1,1:05,"Oct  15, 2005",""
Jose Aldo,https://www.sherdog.com/fighter/Jose-Aldo-11506,W,Phil Harris,UK-1 - Fight Night,TKO (Doctor Stoppage),1,0:00,"Sep  17, 2005",""
Jose Aldo,https://www.sherdog.com/fighter/Jose-Aldo-11506,W,Anderson Silverio,Meca 12 - Meca World Vale Tudo 12,TKO (Submission to Soccer Kicks),1,8:33,"Jul  09, 2005",""
Jose Aldo,https://www.sherdog.com/fighter/Jose-Aldo-11506,W,Aritano Silva Barbosa,RMMAC - Rio MMA Challenge 1,KO (Soccer Kicks),1,0:20,"May  12, 2005",""
Jose Aldo,https://www.sherdog.com/fighter/Jose-Aldo-11506,W,Luiz de Paula,Shooto Americas - Shooto Brazil 7,Submission (Arm-Triangle Choke),1,1:54,"Mar  19, 2005",""
Jose Aldo,https://www.sherdog.com/fighter/Jose-Aldo-11506,W,Hudson Rocha,Shooto Brazil - Never Shake,TKO (Doctor Stoppage),1,5:00,"Oct  23, 2004",""
Jose Aldo,https://www.sherdog.com/fighter/Jose-Aldo-11506,W,Mario Bigola,EFC 1 - Eco Fight Championship 1,KO (Head Kick),1,0:18,"Aug  10, 2004",""
