state,state_abbr,measure,reference,value,rank,units
Louisiana,LA,economic impact,total,969,24,million dollars
Louisiana,LA,economic impact,per-capita,285.9,32,million dollars
Louisiana,LA,production,total,237721,24,barrels
Louisiana,LA,production,per-capita,2.2,28,gallons
Maine,ME,craft breweries,total,133,19,total
Maine,ME,craft breweries,per-capita,12.7,2,total
Maine,ME,economic impact,total,668,31,million dollars
Maine,ME,economic impact,per-capita,642.09,4,million dollars
Maine,ME,production,total,361705,18,barrels
Maine,ME,production,per-capita,10.7,6,gallons
Maryland,MD,craft breweries,total,112,22,total
Maryland,MD,craft breweries,per-capita,2.5,33,total
Maryland,MD,economic impact,total,956,25,million dollars
Maryland,MD,economic impact,per-capita,213.75,49,million dollars
Maryland,MD,production,total,301966,22,barrels
Maryland,MD,production,per-capita,2.1,29,gallons
Massachusetts,MA,craft breweries,total,175,17,total
Massachusetts,MA,craft breweries,per-capita,3.3,27,total
Massachusetts,MA,economic impact,total,2124,14,million dollars
Massachusetts,MA,economic impact,per-capita,406.62,17,million dollars
Massachusetts,MA,production,total,638231,13,barrels
Massachusetts,MA,production,per-capita,3.8,15,gallons
Michigan,MI,craft breweries,total,400,6,total
Michigan,MI,craft breweries,per-capita,5.4,12,total
Michigan,MI,economic impact,total,2598,10,million dollars
Michigan,MI,economic impact,per-capita,349.71,25,million dollars
Michigan,MI,production,total,903153,10,barrels
Michigan,MI,production,per-capita,3.8,16,gallons
Minnesota,MN,craft breweries,total,196,15,total
Minnesota,MN,craft breweries,per-capita,4.7,14,total
Minnesota,MN,economic impact,total,2241,12,million dollars
Minnesota,MN,economic impact,per-capita,547.05,10,million dollars
Minnesota,MN,production,total,644655,12,barrels
Minnesota,MN,production,per-capita,4.8,11,gallons
Mississippi,MS,craft breweries,total,14,50,total
Mississippi,MS,craft breweries,per-capita,0.7,51,total
Mississippi,MS,economic impact,total,344,43,million dollars
Mississippi,MS,economic impact,per-capita,159.65,51,million dollars
Mississippi,MS,production,total,25257,48,barrels
Mississippi,MS,production,per-capita,0.4,51,gallons
Missouri,MO,craft breweries,total,140,18,total
Missouri,MO,craft breweries,per-capita,3.1,29,total
Missouri,MO,economic impact,total,1286,21,million dollars
Missouri,MO,economic impact,per-capita,284.95,33,million dollars
Missouri,MO,production,total,363383,17,barrels
Missouri,MO,production,per-capita,2.5,26,gallons
Montana,MT,craft breweries,total,92,28,total
Montana,MT,craft breweries,per-capita,11.5,3,total
Montana,MT,economic impact,total,498,37,million dollars
Montana,MT,economic impact,per-capita,627.69,6,million dollars
Montana,MT,production,total,218547,26,barrels
Montana,MT,production,per-capita,8.5,8,gallons
Nebraska,NE,craft breweries,total,55,35,total
Nebraska,NE,craft breweries,per-capita,4,22,total
Nebraska,NE,economic impact,total,600,32,million dollars
Nebraska,NE,economic impact,per-capita,437.92999999999995,15,million dollars
Nebraska,NE,production,total,54892,44,barrels
Nebraska,NE,production,per-capita,1.2,37,gallons
Nevada,NV,craft breweries,total,45,38,total
Nevada,NV,craft breweries,per-capita,2,43,total
Nevada,NV,economic impact,total,594,33,million dollars
Nevada,NV,economic impact,per-capita,264.51,40,million dollars
Nevada,NV,production,total,87469,38,barrels
Nevada,NV,production,per-capita,1.2,41,gallons
New Hampshire,NH,craft breweries,total,91,29,total
New Hampshire,NH,craft breweries,per-capita,8.7,8,total
New Hampshire,NH,economic impact,total,506,36,million dollars
New Hampshire,NH,economic impact,per-capita,485.63,12,million dollars
New Hampshire,NH,production,total,117314,35,barrels
New Hampshire,NH,production,per-capita,3.5,17,gallons
New Jersey,NJ,craft breweries,total,127,20,total
New Jersey,NJ,craft breweries,per-capita,1.9,46,total
New Jersey,NJ,economic impact,total,1810,18,million dollars
New Jersey,NJ,economic impact,per-capita,272.78,36,million dollars
New Jersey,NJ,production,total,171097,31,barrels
New Jersey,NJ,production,per-capita,0.8,46,gallons
New Mexico,NM,craft breweries,total,94,27,total
New Mexico,NM,craft breweries,per-capita,6.2,10,total
